Year,US_Real_GDP_Hundred_Million_Yuan,US_Consumption_Expenditure_Hundred_Million_Yuan,China_Real_GDP_Hundred_Million_Yuan,China_Youth_Unemployment_Rate,China_Fixed_Asset_Investment_Hundred_Million_Yuan,China_Population_Billion,China_Final_Consumption_Hundred_Million_Yuan,China_Capital_Formation_Hundred_Million_Yuan
1978,451463.7146880001,23894.64,3678.7025196403,2.3930831235818615,786.7670430204114,9.6259,2233.62,1383.33
1979,429716.40228571434,24573.7,3957.9647720095,2.4976771484757254,846.5613382899628,9.7542,2578.98,1488.34
1980,414786.9408,26260.5,4268.03747171894,2.607463948584222,910.9,9.8705,2967.68,1587.54
1981,482021.45168,32878.0,4486.25203099869,2.6988301083634125,961.0,10.0072,3278.2,1626.3
1982,526231.5452640001,39147.57,4890.78248697926,2.8356672776698146,1230.0,10.1654,3576.84,1718.4
1983,576560.797673143,45175.68,5417.52966503102,3.001811242743017,1430.0,10.3008,4061.2,1922.23
1984,724453.2807314286,57821.35999999999,6240.53585259651,3.2335031045979523,1833.0,10.4357,4786.65,2502.23
1985,956335.2288,79756.31999999999,7078.68209824944,3.4491954567444845,2543.0,10.5851,5920.76,3554.42
1986,1161089.4857485718,99577.35,7712.22143972509,3.630170769723329,3121.0,10.7507,6730.82,3914.61
1987,1295208.7042285716,114438.36,8611.26808512415,3.8794105465310738,3792.0,10.93,7643.52,4543.67
1988,1349309.0307017146,123876.0,9577.6758252042,4.116656518179579,4754.0,11.1026,9429.37,5932.24
1989,1417659.8562285714,134845.36000000002,9980.54489394287,4.276304519590557,4410.0,11.2704,11043.68,6392.36
1990,1831357.4896868572,182070.2,10371.8073415595,4.416979701818805,4517.0,11.4333,12012.42,6446.57
1991,2036039.7665280001,209788.88,11332.5256686693,4.366,5595.0,11.5823,13625.62,7753.98
1992,2183036.729565714,231287.75999999998,12944.5241363663,4.432,8080.0,11.7171,16239.29,10625.41
1993,2344883.237156572,256435.19999999998,14741.7068267318,5.117,13072.0,11.8517,20814.94,15440.5
1994,3650569.3202514285,406950.19999999995,16663.5546401513,5.621,17042.0,11.985,28296.81,19479.44
1995,3631150.21816,414377.1,18488.872806914,5.92,20019.0,12.1121,36228.74,23823.02
1996,3750095.2405028576,435826.26,20323.4417043994,6.259,22974.0,12.2389,43122.27,26960.07
1997,3907439.8840914285,459000.72,22200.6732810471,6.567,24941.0,12.3626,47548.74,28317.13
1998,4077691.8095725705,486632.16,23942.5274029891,6.67,28406.0,12.4761,51501.82,29659.69
1999,4272946.441261714,519909.48,25776.9204129334,6.767,29855.0,12.5786,56667.31,30891.24
2000,4447179.863835429,559901.88,27965.4050335063,6.84,32918.0,12.6743,63748.88,33667.08
2001,4489676.590052571,585031.6799999999,30296.5266629785,7.994,37214.0,12.7627,68661.13,39402.52
2002,4566019.261247999,607975.5599999999,33063.6995507154,8.919,43500.0,12.8453,74227.48,44005.04
2003,4693667.185728,639472.6799999999,36382.6437895038,9.624,53841.0,12.9227,79735.01,54446.79
2004,4874270.384859429,680011.5599999999,40062.246629678,9.433,66235.0,12.9988,89394.43,67725.57
2005,4989241.168703998,716387.49,44627.1761029614,9.495,80994.0,13.0756,101872.53,75575.96
2006,4990415.235851429,738045.91,50304.1793897223,9.331,97583.07,13.1448,118041.6,88340.7
2007,4860485.979005715,738657.04,57462.8972023432,9.224,118323.17,13.2129,141098.1,110280.8
2008,4443987.876994287,693352.85,63008.45690893,9.803,144586.76,13.2802,163038.1,136086.1
2009,4254733.492733714,672222.26,68930.4488992776,10.15,181760.35,13.345,179288.9,159280.4
2010,4331022.507485714,689578.6599999999,76261.8025682081,9.823,218833.61,13.4091,207282.4,193285.6
2011,4197356.202427429,687415.0599999999,83545.4393481999,9.98,205036.4,13.4916,251626.5,229365.4
2012,4193745.842404571,694529.08,90115.2325135377,10.161,241745.5,13.5922,282600.3,250852.5
2013,4207906.3272685725,701666.4,97113.7167314202,10.327,282485.5,13.6726,314357.5,277215.4
2014,4272355.229709714,725919.9199999999,104325.151813623,10.521,320330.9,13.7646,346676.5,297145.3
2015,4462668.835296,766134.25,111671.028856032,10.697,347827.4,13.8326,381592.8,300218.2
2016,4842899.388105143,847928.0,119319.112074246,10.593,372020.7,13.9232,422940.3,320756.2
2017,5051592.821302857,901811.0399999999,127608.450374843,10.452,394926.2,14.0011,469929.1,360559.2
2018,5093727.798994286,926356.46,136221.732166357,9.694,418215.2,14.0541,522106.7,405421.8
2019,5454244.143083429,997023.17,144327.60736572,10.706,439541.2,14.1008,568348.2,429201.1
2020,5328546.29616,974017.8,147560.115467812,12.678,451154.8,14.1212,577169.4,440567.7
2021,5282635.744457143,1025717.7000000001,159526.934764202,12.422,473002.5,14.126,642376.7,501014.2
2022,5658836.462889144,1180288.58,164809.551582405,14.811,495966.4,14.1175,671803.9,522678.5
2023,6115942.486765715,1332652.1160000002,173395.643263246,15.745,509707.9,14.0967,734594.8,532330.2
